幫我計算1+1 %calculate%
計算8/63 %calculate%
算出8/42 %calculate%
87除以7 %calculate%
幹 %swear%
操你媽 %swear%
去死 %swear%
幹你媽 %swear%
操 %swear%
去死一死 %swear%
七四一四 %swear%
結束程序 %close%
停止運行 %close%
關閉應用程式 %close%
終止操作 %close%
結束任務 %close%
結束應用 %close%
停用程式 %close%
中止操作 %close%
終止程式 %close%
撤銷操作 %close%
讓這東西滾吧，我不想再看到了 %close%
放過我吧，不要再繼續 %close%
繼續，不要停 %donothing%
別中斷，繼續 %donothing%
不要結束，繼續進行 %donothing%
要持續，不要放棄 %donothing%
不要停下，繼續 %donothing%
繼續進行，別放手 %donothing%
持續下去，不要結束 %donothing%
不要結束，繼續做 %donothing%
要繼續，不要中斷 %donothing%
繼續前進，不要停止 %donothing%
要持續下去，別停 %donothing%
有時候，風都會穿著小丑服出現 %donothing%
嘿兄弟 %call%
欸哥 %call%
欸欸欸 %call%
欸 %call%
哥 %call%
哥哥 %call%
哇哈哈姊妹 %call%
喂喂姊妹啊 %call%
拜託拜託姊妹 %call%
嗨喲好友 %call%
嗨朋友 %call%
哇哈哈姐妹 %call%
喂喂姊妹 %call%
拜託拜託姊妹啊 %call%
嗨喲朋友 %call%
嘿伙計，能幫我一下嗎 %call%
聽著，能幫我一個忙嗎 %call%
聽著，能給我一點幫助嗎 %call%
老哥買了78支原子筆 %donothing%
大姐買了45個電子遊戲 %donothing%
阿弟拿了12瓶香水 %donothing%
姊姊訂購了36本小說 %donothing%
老朋友拿了19隻玩具 %donothing%
大哥賣了58包巧克力 %donothing%
朋友買了33條領帶 %donothing%
小姐姐訂購了42張唱片 %donothing%
嘿老弟 %call%
10加5 %calculate%
20減8 %calculate%
15乘4 %calculate%
25加15 %calculate%
48減28 %calculate%
30乘3 %calculate%
12加18 %calculate%
40減22 %calculate%
35乘2 %calculate%
22加7 %calculate%
24減14 %calculate%
28乘5 %calculate%
16加9 %calculate%
32減12 %calculate%
27乘3 %calculate%
幹 %swear%
操你媽 %swear%
去死 %swear%
幹你媽 %swear%
操 %swear%
去死一死 %swear%
七四一四 %swear%
結束程序 %close%
停止運行 %close%
關閉應用程式 %close%
終止操作 %close%
結束任務 %close%
結束應用 %close%
停用程式 %close%
中止操作 %close%
終止程式 %close%
撤銷操作 %close%
讓這東西滾吧，我不想再看到了 %close%
放過我吧，不要再繼續 %close%
有時候，風都會穿著小丑服出現 %donothing%
嘿兄弟 %call%
欸哥 %call%
欸欸欸 %call%
欸 %call%
哥 %call%
哥哥 %call%
哇哈哈姊妹 %call%
喂喂姊妹啊 %call%
拜託拜託姊妹 %call%
嗨喲好友 %call%
嗨朋友 %call%
哇哈哈姐妹 %call%
喂喂姊妹 %call%
拜託拜託姊妹啊 %call%
嗨喲朋友 %call%
嘿伙計，能幫我一下嗎 %call%
聽著，能幫我一個忙嗎 %call%
聽著，能給我一點幫助嗎 %call%
老哥買了78支原子筆 %donothing%
大姐買了45個電子遊戲 %donothing%
阿弟拿了12瓶香水 %donothing%
姊姊訂購了36本小說 %donothing%
老朋友拿了19隻玩具 %donothing%
大哥賣了58包巧克力 %donothing%
朋友買了33條領帶 %donothing%
小姐姐訂購了42張唱片 %donothing%
嘿老弟 %call%
幫我計算1+1 %calculate%
計算8/63 %calculate%
算出8/42 %calculate%
87除以7 %calculate%
幹 %swear%
操你媽 %swear%
去死 %swear%
幹你媽 %swear%
操 %swear%
去死一死 %swear%
七四一四 %swear%
結束程序 %close%
停止運行 %close%
關閉應用程式 %close%
終止操作 %close%
結束任務 %close%
結束應用 %close%
停用程式 %close%
中止操作 %close%
終止程式 %close%
撤銷操作 %close%
讓這東西滾吧，我不想再看到了 %close%
放過我吧，不要再繼續 %close%
繼續，不要停 %donothing%
別中斷，繼續 %donothing%
不要結束，繼續進行 %donothing%
要持續，不要放棄 %donothing%
不要停下，繼續 %donothing%
繼續進行，別放手 %donothing%
持續下去，不要結束 %donothing%
不要結束，繼續做 %donothing%
要繼續，不要中斷 %donothing%
繼續前進，不要停止 %donothing%
要持續下去，別停 %donothing%
有時候，風都會穿著小丑服出現 %donothing%
嘿兄弟 %call%
欸哥 %call%
欸欸欸 %call%
欸 %call%
哥 %call%
哥哥 %call%
哇哈哈姊妹 %call%
喂喂姊妹啊 %call%
拜託拜託姊妹 %call%
嗨喲好友 %call%
嗨朋友 %call%
哇哈哈姐妹 %call%
喂喂姊妹 %call%
拜託拜託姊妹啊 %call%
嗨喲朋友 %call%
嘿伙計，能幫我一下嗎 %call%
聽著，能幫我一個忙嗎 %call%
聽著，能給我一點幫助嗎 %call%
嘿老弟 %call%
10加5 %calculate%
20減8 %calculate%
15乘4 %calculate%
25加15 %calculate%
48減28 %calculate%
30乘3 %calculate%
12加18 %calculate%
40減22 %calculate%
35乘2 %calculate%
22加7 %calculate%
24減14 %calculate%
28乘5 %calculate%
16加9 %calculate%
32減12 %calculate%
27乘3 %calculate%
操 %swear%
放過我吧，不要再繼續 %close%
哥 %call%
哥哥 %call%
哈囉，過得怎麼樣 %call%
你好，近況如何 %call%
哈囉，有聽到新消息嗎 %call%
你好，最近在忙什麼 %call%
你好啊，過得愉快嗎 %call%
哈囉，有什麼好玩的 %call%
嘿，有什麼有趣的事情嗎 %call%
你好，有什麼需要幫忙的嗎 %call%
嗨，有什麼需要分享的嗎 %call%
嘿，你好嗎 %call%
嘿，你好嗎 %call%
嘿，你好嗎 %call%
你媽的勒 %swear%
